,Astrocytes,"Astrocytes, cycling",B cells,DE,DI,Ependymal cells,"Infiltrating, bordering leukocytes",Mature oligodendrocytes (MOL),"Mature oligodendrocytes (MOL), ischemic",Microglia,Myelin forming oligodendrocytes (MFOL),"Myeloid, dividing","NK, T cells",Newly formed oligodendrocytes (NFOL),Oligodendrocytes precursor cells (OPC),"Oligodendrocytes precursor cells (OPC), differentiating",Pericytes,Peripheral macrophages,VE,VI,Vascular endothelial cells,Vascular leptomeningeal cells
Arv1,0.14846866,0.2011227,0.046908654,0.23192182,0.24847041,0.1646565,0.0621694,0.09169532,0.20282036,0.07820412,0.052124932,0.10384803,0.052628707,0.136233,0.14405517,0.1340879,0.05568524,0.07477383,0.3995475,0.37588894,0.05687541,0.07738812
Trim67,0.07128462,0.032179173,0.0013592228,0.15788764,0.25770146,0.026770115,0.0002869047,2.7851393e-05,0.0006102807,2.5468958e-05,5.2592884e-05,0.00020401593,0.0004818443,0.037858456,0.19879231,0.1289089,0.01132596,4.901956e-05,0.5045974,0.6581844,0.0025367604,0.0029384426
C19h1orf131,0.29973757,0.5109415,0.10440251,0.20771123,0.26288468,0.16630885,0.14640097,0.22303252,0.4034116,0.15578745,0.14951092,0.24254361,0.09894059,0.2895645,0.24451491,0.2281237,0.112524286,0.19605757,0.37727886,0.38091236,0.15482622,0.1626164
Gnpat,0.3066073,0.32767352,0.14897963,0.36778447,0.43318403,0.2083586,0.14011493,0.22564356,0.40247813,0.14828482,0.13647532,0.21589787,0.095757335,0.26709378,0.23718512,0.22536577,0.16249312,0.18400249,0.6576778,0.6977742,0.17005984,0.20030698
Sprtn,0.058540482,0.115125366,0.02721095,0.07564039,0.087140694,0.025525976,0.03397356,0.059711453,0.108495645,0.03140908,0.03800196,0.048238326,0.020247363,0.07501519,0.040297113,0.0495008,0.033979885,0.044284724,0.15375054,0.14801174,0.067809165,0.05569022
Egln1,0.39517677,0.71775067,0.078141116,0.41071293,0.58732253,0.20688736,0.1929009,0.3097131,0.499986,0.18858562,0.18052378,0.37023458,0.17956989,0.3172348,0.31936765,0.2522612,0.21426812,0.24501374,0.78382653,0.88612145,0.50033474,0.25779572
Tsnax,0.32172376,0.45681846,0.050341625,0.43774825,0.612994,0.18323942,0.122853175,0.28039798,0.4176277,0.09516784,0.17494427,0.16482835,0.07151839,0.33840263,0.30368507,0.24633916,0.17723846,0.13218054,0.9405869,1.0220815,0.2516849,0.21571514
Disc1,0.22562785,0.44019246,0.045539755,0.2209322,0.19667137,0.0852602,0.65510124,0.03668297,0.0773119,0.51096016,0.014849468,0.84620273,0.13941851,0.03852729,0.7359161,0.37711635,0.14012386,0.4818758,0.4879861,0.4433591,0.47733057,0.34987175
Sipa1l2,0.42111292,1.2644762,0.26724613,0.8554021,0.5822718,0.64405084,0.9760417,0.1518373,0.21823907,2.1193526,0.13016705,2.4469492,0.14054383,0.4346386,0.7007772,0.65974087,0.3009924,1.4886674,1.3621503,1.0550799,0.7697824,0.42363992
Ntpcr,0.017922629,0.049419146,0.05234004,3.8978364e-05,0.0001738486,0.01309305,0.3134015,0.003742003,0.0154255815,0.4106933,0.0006692233,0.3216918,0.040084384,0.0010180253,0.0043296376,0.015837522,0.022633819,0.21656649,0.0017572653,0.0013503252,0.037134282,0.018289307
Pcnx2,0.020768724,0.022196574,0.0020523272,1.4243385,1.6902366,0.029333599,0.0002897318,0.0074846903,0.058682647,1.8508275e-05,0.0014466173,0.00019830736,0.0008743598,0.18073899,0.31495926,0.112568654,0.0045684325,3.891159e-05,3.2571177,3.3475282,0.00080897944,0.0022826144
Map3k21,0.0013800914,0.007938593,0.001596424,0.016774816,0.026544718,0.0066135083,0.00046607593,0.0036324158,0.008587018,2.7771082e-05,0.002582917,0.00058059813,0.00045013597,0.0010069765,0.0024908811,0.0020032614,0.0004661321,0.00013024155,0.088324875,0.091950655,0.00039725046,0.001990091
